question,option1,option2,option3,option4,correct,,,
Hanukkah is a Jewish festival celebrated to remember the Jews’ struggle for religious freedom.,TRUE,FALSE,,,1,,,
How can you visit the Northern Ireland Assembly (choose TWO options)?,Contacting the Education Service,Contacting an MSP,Contacting an MLA,Arranging a tour through the visitor services,"1,3",,,
"Most citizens of the UK, the Irish republic or the Commonwealth aged 18 or over can stand for public office, except for (choose THREE options):",People found guilty of certain criminal offences,People without a university degree,Civil servants,Members of the Armed Forces,"1,3,4",,,
What were the main occupations of the people during the Iron Age?,Fishermen and butchers,"Farmers, craft workers or warriors","Knights, doctors or musicians","Engineers, teachers or lawyers",2,,,
To look after yourself and your family is one of the responsibilities that you will have as a permanent resident or citizen of the UK.,TRUE,FALSE,,,1,,,
When is the electoral register updated?,April or May,May or June,September or October,October or November,3,,,
Which of the following is the official church of the state?,The Church of Great Britain,The Church of England,The Church of the United Kingdom,The British Church,2,,,
Where does the Scottish Parliament sit?,In Glasgow,In St Andrews,In Edinburgh,In Aberdeen,3,,,
"Who became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada?",Henry VIII,Elizabeth I,James I,Mary I,2,,,
What was the population of the UK in 1700?,2 million,4 million,5 million,8 million,3,,,
When did the ‘Concorde’ aircraft retired from service?,In 1976,In 1999,In 2003,In 2000,3,,,
When did the Allies defeat Germany marking the end of the Second World War?,In June 1943,In May 1945,In August 1945,In August 1946,2,,,
How many square miles does Loch Lomond and the Trossachs National Park cover?,720,740,820,840,1,,,
"Which British athlete won 16 medals, including 11 gold medals, in races over five Paralympic Games?",Dame Kelly Holmes,Sir Ian Botham,Baroness Tanni Grey-Thompson,Dame Elle MacArthur,3,,,
What British sportsmen holds a number of English Test cricket records?,Bobby Moore,Sir Jackie Steward,Sir Ian Botham,Sir Roger Bannister,3,,,
"During the Middle Ages, England was an important trading nation and people came to England from abroad to trade and also to work. Where did the weavers come from?",Germany,Italy,France,Holland,3,,,
What was the name of Sir Francis Drake’s ship and which was one of the first to sail around the world?,The Golden Eye,The Golden Hind,Elizabeth Tower,The Sharp,2,,,
To whom do new citizens have to swear or affirm loyalty as part of the citizenship ceremony?,The Pope,The Prime Minister,The King,The Church of England,3,,,
Why did Henry VIII marry Anne of Cleves?,He was deeply in love,For political reasons,For her fortune,She was expecting a child,2,,,
How many Formula 1 Grand Prix events are held in the UK every year?,One,Two,Three,Four,1,,,
How can you visit the UK Parliament (choose TWO options)?,Arranging a tour through the visitor services,Writing to your local MP to ask for tickets,Queueing on the day at the public entrance,Contacting an MSP,"2,3",,,
Forced marriage is where one or both parties do not or cannot give their consent to enter into the partnership:,TRUE,FALSE,,,1,,,
"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK and shops and businesses are obliged to accept them:",TRUE,FALSE,,,2,,,
"How many American colonies declared their independence in 1776, stating that people had a right to establish their own governments?",11,12,13,14,3,,,
Which TWO words come from the Viking language?,Grimsby,Scunthorpe,Thunderstorm,Butterfly,"1,2",,,
Which of the following drugs is NOT illegal in the UK?,Cannabis,Cocaine,Ecstasy,All of the above are illegal,4,,,
How is the Speaker elected?,By other MPs in a secret ballot,By the members of the House of Lords by proportional representation,By the members of the House of Commons in a public ballot,By the Prime Minister,1,,,
Which TWO of the following are traditional British foods?,Pasta carbonara,Green curry,Roast Beef,Fish and Chips,"3,4",,,
When was the Northern Ireland Parliament established for the first time?,In 1922,In 1932,In 1925,In 1928,1,,,
"Throughout the 1990s, Britain played a leading role in coalition forces involved in the liberation of Kuwait, following the Iraqi invasion in 1990, and the conflict in the former Republic of Yugoslavia:",TRUE,FALSE,,,1,,,
The ‘swinging sixties’ was a period of significant social change and it was known for its growth in:,"British fashion, cinema and popular music",The Punk movement,English literature and comedy,The ownership of cars,1,,,
What is the name given to the system used to deal with children and young people who have committed an offence in Scotland?,The Children’s Hearings System,The Youth Court System,The Sheriff Court for Young Children,The Young’s System,1,,,
Which prehistoric village located in northern Europe has helped archaeologists to understand more about how people live near the end of the Stone Age?,Stonehenge,Scunthorpe,Danelaw,SkaraBrae,4,,,
"During the Middle Ages, a Parliament was developed in Scotland, which had three Houses called Estates. These were:","The lords, the commons and the clergy","The lords, the commons and the farmers","The farmers, the blacksmiths and the clergy","The farmers, the blacksmiths and the teachers",1,,,
"Which landscape architect designed grounds around country houses so that the landscape appeared to be natural, with grass, trees and lakes?",Clarice Cliff,Lancelot ‘Capability’ Brown,Alexander McQueen,Vivienne Westwood,2,,,
Which of the following scientific discoveries helped the progress of the Industrial Revolution?,Penicillin,The aeroplane,Steam power,The lightbulb,3,,,
What is the function of the UN Security Council?,Recommend action when there are international crises and threats to peace,Recommend humanitarian action when there are natural disasters,Protect and promote human rights,Promote international trade relationships,1,,,
Who were the parents of Elizabeth I?,Henry VIII and Anne Boleyn,Henry VII and Anne of Cleves,Henry VIII and Catherine of Aragon,Henry VII and Catherine Howard,1,,,
The Isle of Man is a Crown dependency.,TRUE,FALSE,,,1,,,
Which of the following charities works for the prevention of cruelty to children?,PDSA,RSPB,NSPCC,Crisis,3,,,
How old do you need to be to buy a lottery ticket or scratch card?,16,18,21,25,2,,,
Where was Catherine of Aragon (the first wife of Henry VIII) from?,Spain,Germany,England,French,1,,,
When did motor-car racing start in the UK?,In 1889,In 1901,In 1902,In 1922,3,,,
"The Commonwealth is based on the core values of democracy, good government and the rule of law:",TRUE,FALSE,,,1,,,
How long does it take to donate blood?,About half an hour,About an hour,About two hours,About 15 minutes,2,,,
When did the post-war economic boom come to an end?,In the early 1970s,In the late 1970s,In the early 1960s,In the late 1960s,2,,,
"During its government, Margaret Thatcher made structural changes to the economy through the privatisation of nationalised industries and imposed legal controls on trade union powers:",TRUE,FALSE,,,1,,,
Who sat at the House of Commons during the Middle Ages?,Knights and wealthy people from towns and cities,Farmers and blacksmiths,Great landowners and bishop,Everyone could sit at the House of Commons,1,,,
Which of the following words come from the Anglo-Saxon language?,Apple and summer,Music and dance,Grimsby and scunthorpe,Canute and boat,1,,,
Where do local authorities get funding from (choose TWO answers)?,The King,The central government,Donations made by local residents,Local taxes,"2,4",,,
If you are self-employed:,You need to pay your own tax,Tax is automatically taken from your earnings by a specialised agency,You don’t need to pay tax,You only needed to pay tax on 50% of your earnings,1,,,
What name is given to the elected members of the Northern Ireland Assembly?,MSPs,MLAs,MPs,SMs,2,,,
How long does the Hanukkah celebration last for?,Eight days,40 days,Five days,A fortnight,1,,,
Which of the following areas did the British Empire NOT cover during the Victorian period?,Mexico,Australia,India,Large parts of Africa,1,,,
What percentage of the total British population is located in Wales?,30%,5%,8%,3%,2,,,
"Which senior MP is responsible for issues relating to crime, policing and immigration?",The Home Secretary,The Foreign Sectretary,The Chancellor of the Exchequer,The Prime Minister,1,,,
Which British scientist led the development of the atomic bomb?,Howard Florey,Ernst Chain,Ernest Rutherford,Keith Campbell,3,,,
Which of the following movies played an important role in boosting morale during the Second World War?,The Ladykillers,Carry on,Passport to Pimlico,In Which We Serve,4,,,
"After the Black Death, the growing wealth in the towns led to the development of a strong middle class:",TRUE,FALSE,,,1,,,
What was the ability of the Harrier jump jet aircraft?,"To carry 1,000 passengers",To take off vertically,To float on water,To reach supersonic speeds,2,,,
Who won the 2012 Olympic gold medal in heptathlon?,Ellie Simmonds,Jessica Ennis,Dame Kelly Holmes,Jayne Torvill,2,,,
"What is the name of the annual cultural Welsh festival which includes music, dance, art and original performances largely in Welsh?",The Arts Festival of Wales,The National Eisteddfod of Wales,The Music Festival of Wales,The National Performance Festival of Wales,2,,,
What is the most well-known rugby league (club) competition?,The Grand National,The All England championship,The Six Nations championship,The Super League,4,,,
Where do the Laurence Olivier Awards take place?,In London,In Manchester,In Liverpool,In Edinburgh,1,,,
"How old was the Queen of Scotland, Mary Stuart, when she became queen?",Two years old,A month old,A week old,5 years old,3,,,
Where was the first tennis club founded?,Brixton,Leamington Spa,Haywards Heath,St Andrews,2,,,
Which British playwright invented many common English words and had a great influence on the English language?,William Shakespeare,Graham Greene,Dylan Thomas,Harold Pinter,1,,,
"In which city is the Northern Ireland Assembly building, also known as Stormont, located?",London,Belfast,Cardiff,Dublin,2,,,
What proportion of the population died as a result of the Black Death in England?,Half of the population,One third of the population,55% of the population,One quarter of the population,2,,,
Which famous poem tells the story of the knights at the court of King Arthur?,Beowulf,Paradise Lost,Sir Gawain and the Green Knight,King Arthur and his knights,3,,,
Which flower is associated with Northern Ireland?,Daffodil,Rose,Thistle,Shamrock,4,,,
The longest distance on the mainland in the UK is from John O’Groats on the north coast of Scotland to a place in the south-west corner of England known as:,Land's Point,Earth Point,Eastbourne,Land's End,4,,,
Who wrote a famous series of poems about a group of people going to Canterbury on a pilgrimage known as ‘The Canterbury Tales’?,William Shakespeare,Geoffrey Chaucer,Jane Austen,Charles Dickens,2,,,
Which of the following categories is recognised at the Laurence Olivier Awards?,Music,Theatre,Sport,Literature,2,,,
"In the UK, there is a National Lottery for which draws are made every day.",TRUE,FALSE,,,2,,,
Where is Europe’s longest dry ski slope located?,"Near Swansea, in Wales","Near Edinburgh, in Scotland","Near Glasgow, in Scotland","Near Belfast, in Northern Ireland",2,,,
Which TWO of Henry VIII’s wives were accused of taking lovers and executed?,Anne of Cleves,Catherine Howard,Catherine Parr,Anne Boleyn,"2,4",,,
Who is the head of the state in the UK?,The Prime Minister,King Charles III,Prince William of Wales,"Prince Philip, the Duke of Edinburgh",2,,,
What was the population of the UK in 1600?,Just over 3 million,Just over 4 million,Just under 3 million,Just over 5 million,2,,,
What name is given to the 31st of December in Scotland?,Hogmanay,Bonfire Night,Vaisakhi,Diwali,1,,,
In which of the following languages is the life in the UK test NOT available?,English,Scottish Gaelic,French,Welsh,3,,,
"Which two scientists were successful at cloning the first mammal, Dolly the sheep?",Sir Frank Whittle and Sir Christopher Cockrell,Sir Robert Edwards and Patrick Steptoe,Sir Ian Wilmot and Keith Campbell,Francis Creek and John Logie Baird,3,,,
When is the Sikh Vaisakhi festival celebrated?,14th of February,14th of April,30th of March,30th of April,2,,,
Who were the Pre-Raphaelites?,An important group of musicians from the 16th century,An important group who demanded the vote for the working classes,An important group of artists in the second half of the 19th century,A group of explorers who arrived in the south-east coast of Australia,3,,,
When was St Pancras Station built?,In the 18th century,In the 19th century,In the 20th century,In the 21st century,2,,,
Members of the Scottish Parliament (MSPs) are elected on the basis of:,Proportional representation,Personal achievements,Instant run-off,First past the post system (the candidate who gets the most votes),1,,,
Which TWO of the following soap operas are popular in the UK?,Braveheart,Coronation Street,EastEnders,Heroes,"2,3",,,
What does the term ‘Hansard’ relate to?,Official reports where proceedings in Parliament are published,A popular British soap opera,A festival which celebrates the founding of the Sikh community,A public holiday,1,,,
Who was the first king of the House of Tudor?,King Richard III,Henry Tudor,Henry V,James I,2,,,
"What do Lewis Hamilton, Jenson Button and Damon Hill have in common?",They are football players,They have won the Formula 1 World Championship,They won gold Olympic medals,They have won the Six Nations Championship,2,,,
"According to the 2011 Census, what percentage of people said that they had no religion?",10%,11%,20%,25%,4,,,
During which period were the first coins produced in Britain?,The stone Age,The Golden Age,The Silver Age,The Iron Age,4,,,
"What other name is given to Diwali, the religious celebration that celebrates the victory of good over evil and the gaining of knowledge?",The Festival of Lights,Hanukkah,The Festival of the Lanterns,The Festival of the Candles,1,,,
"In Wales, the jury has to listen to the evidence presented at the trial and then decide a verdict of ‘guilty’, ‘not guilty’ or ‘not proven’ based of what they have heard:",TRUE,FALSE,,,2,,,
The Prime Minister has a country house outside London called:,Sparkle,Downing,Windsor,Chequers,4,,,
In which English county is Maiden Castle located?,Dorset,Devon,Somerset,Cornwall,1,,,
A National Insurance number does on its own prove to an employer that you have the right to work in the UK:,TRUE,FALSE,,,2,,,
Which of the following is a ceremonial role to be undertaken by the King?,Opening the new parliamentary session every year,Visiting the major cities in the UK once every six months,Choosing the Prime Minister,Giving a speech on New Year’s Eve,1,,,
How long can you use your driving licence in the UK if you have a licence from another country?,For up to 12 months,You need a UK driving licence,For as long as it is valid,For up to 2 years,1,,,
What British discovery was influential in the development of computer science and the modern-day computer? ,The Radar,The Turing machine,The MRI scanner,The aeroplane,2,,,
"Which Court deals with the serious criminal offences in England, Wales and Northern Ireland?",The County Court,The Crown Court,The High Court,The Sheriff Court,2,,,
Which famous philosopher developed ideas about human nature during the 18th century and that have continued to influence philosophers over the years?,Aristotle,Sigmund Freud,Platon,David Hume,4,,,
"If you are arrested and taken to a police station, a police officer should:",Make a copy of your ID and retain you until your lawyer arrives,Tell you the reason for your arrest and that you will be able to seek legal advice,Offer you a cup of tea,Explain the law to you and wait for your family to arrive,2,,,
Which British actor has recently won an Oscar?,Hugh Grant,Sir Anthony Hopkins,Jude Law,Richard Burton,2,,,
What TWO names are given to the day before Lent?,Pancake day,Domesday,Shrove Tuesday,Ash Wednesday,"1,3",,,
When did the ‘Concorde’ aircraft carry passengers for the first time?,In 1969,In 1970,In 1972,In 1976,4,,,
The UK is one of five permanent members of the Security Council:,TRUE,FALSE,,,1,,,
Which of the following landmarks is the largest expanse of fresh water in mainland Britain?,The River Thames,Loch Lamond,Loch Ness,Lake District,2,,,
Who wrote the music for the popular show Jesus Christ Superstar?,Andrew Lloyd Webber,Gilbert and Sullivan,Hans Holbein and Sir Anthony Van Dyck,Sir Laurence Olivier,1,,,
Which one of the following four changes did the Chartists did NOT campaign for?,For any man to be able to stand as MP,Secret ballots,Elections every six years,For MPs to be paid,3,,,
Pantomimes are a British tradition that many theatres produce during:,Easter,Christmas,Halloween,Pancake Day,2,,,
How many weeks does the orchestral classical music event known as ‘the Proms’ last for?,Three weeks,Four weeks,Six weeks,Eight week,4,,,
When did King Charles III start reining?,In 2020,In 2021,In 2022,In 2023,3,,,
hat did the Chartists campaign for?,The right to vote for women over 30 years old,The right to vote for the working classes and other people without property,The right to vote for women and men over 30 years old,The right to vote for every citizen,2,,,
What is the name of the land formation consisting of columns made of volcanic lava located on the north-east coast of Northern Ireland?,Eden Project,The Giant’s Causeway,Loch Lomond,Snowdonia,2,,,
"Members of the public are not allowed in Youth Courts, and the name or photographs of the accused young person cannot be published in newspapers or used by the media:",TRUE,FALSE,,,1,,,
A set of principles by which a country is governed and which includes all of the institutions that are responsible for running the country and how their power is kept in check is the definition for:,Revolution,Constitution,Monarchy,Democracy,2,,,
When did Emmeline Pankhurst die?,1928,1935,1936,1930,1,,,
What TWO houses were confronted during the Wars of the Roses?,The House of Lancaster,The House of Leicester,The House of Canterbury,The House of York,"1,4",,,
What is the National Anthem of the UK?,God save the King,God save the Queen,United kingdoms,God save the land,1,,,
Who was the first woman to become Prime Minister in the UK?,J K Rowling,Margaret Thatcher,Jane Austen,Hillary Clinton,2,,,
When did the Brexit referendum take place?,23rd June 2016,23rd July 2016,23rd June 2015,23rd July 2015,1,,,
Which one of the following gardens is located in Northern Ireland?,Bodnant Garden,Mount Stewart,Sissinghurst,Hidcote,2,,,
When is the Mercury Music Prize awarded?,July,August,September,October,3,,,
Which of the following statements is true?,"To apply to become a permanent resident or citizen of the UK, you will need to have a university degree","To apply to become a permanent resident or citizen of the UK, you will need to have a good understanding of life in the UK","To apply to become a permanent resident or citizen of the UK, you will need to have British relatives","To apply to become a permanent resident or citizen of the UK, you will need to have knowledge of the British laws",2,,,
Who invented the cash-dispensing ATM (automatic teller machine) or ‘cashpoint’?,Sir Peter Mansfield,James Goodfellow,Patrick Steptoe,Sir Tim Berners-Lee,2,,,
What is the name of the only ‘Grand Slam’ tennis event played on grass?,The Australian open,The Wimbledon Championships,The U.S. open,The Queen’s open,2,,,
What is the meaning of the term ‘Habeas corpus’?,You must present the person in court,You must obey the law,You should go to court,You should not be judged,1,,,
What name is given to the candelabrum lit during the eight-day holiday of Hanukkah?,Menorah,Diwali,Ramadan,Baisakhi,1,,,
Which of the following statements is TRUE?,It is against the law to walk your dog on the beach,It is against the law to treat a pet cruelly or to neglect it?,It is against the law to take pets into public places,It is against the law to feed your pet in public places,2,,,
Which German princess got married with Henry VIII?,Jane Seymour,Anne of Cleves,Catherine Parr,Anne Boleyn,2,,,
In which of the following matters can the Scottish Parliament legislate (choose FIVE options)?,Additional tax-raising powers,Economic development,Health,Education,Civil and criminal law,Immigration,Planning,"1,3,4,5,7"
Drinking in public can be a criminal offence and you can be fined or arrested for it:,TRUE,FALSE,,,1,,,
What was the most spoken language during the Iron Age?,Anglo-Saxon,French,Celtic,Irish,3,,,
"What charity works for the preservation of important buildings, coastline and countryside in the UK?",The National Trust,The RSPB,Shelter,Oxfam,1,,,
When did Henry VIII die?,In January 1547,In January 1557,In February 1547,In February 1557,1,,,
Which of the following lines from Shakespeare’s plays and poems is often still quoted?,The Darling buds of May,"I have nothing to offer but blood, toil, tears and sweat",Long live our noble King,God save the King,1,,,
Which TWO of the following are fundamental principles of British life?,Tolerance of those with different faiths and beliefs,Buying food from local business,The rule of law,Doing the military service,"1,3",,,
What is the capital city of the UK?,Manchester,Liverpool,London,Cambridge,3,,,
"Which of the following statements about Mary, Queen of Scotland, is NOT true?",She spent most of her childhood in France,She was a Protestant,"She gave her throne to her Protestant son, James VI of Scotland.",She was kept her prisoner for 20 years,2,,,
"When did Ireland become unified with England, Wales and Scotland?",In 1801,In 1811,In 1901,In 1925,1,,,
What is Hogmanay?,The equivalent of Christmas Day in Scotland,The equivalent of New Year’s Eve in Scotland,The equivalent of Christmas Day in Wales,The equivalent of New Year’s Eve in Wales,2,,,
"The devolved administrations of Wales, Scotland and Northern Ireland each have their own civil service:",TRUE,FALSE,,,1,,,
"On Remembrance Day, there is a two-minute silence at 11 AM to commemorate those who died fighting during the First World War.",TRUE,FALSE,,,1,,,
What is the distance between the north coast of Scotland and the south-west corner of England?,470 miles,490 miles,840 miles,870 miles,4,,,
Who was Henry Purcell?,A German-born composer,An organist at Westminster Abbey,An opera composer,A jazz musician,2,,,
How are life peers appointed?,By the monarch on the advice of the Prime Minister,By the Prime Minister on the advice of the King,By the shadow cabinet,By the MPs,1,,,
Where is the Giant’s Causeway located?,Northern Ireland,Scotland,South-east coast of Wales,South-west coast of England,1,,,
Who proposed that enemy aircrafts could be detected by radio waves and is responsible for the development of the radar?,Sir Robert Watson-Watt,John McLeod,John Logie Baird,Alan Turing,1,,,
"In England, Wales and Northern Ireland, if an accused person is aged 18, the case will be heard in a Youth Court:",TRUE,FALSE,,,2,,,
The Prime Minister appoints about 40 senior MPs to become ministers in charge of departments.,TRUE,FALSE,,,2,,,
Royal Ascot is a four-day horse race meeting in Berkshire attended by members of the Royal Family:,TRUE,FALSE,,,2,,,
Who sat at the House of Lords during the Middle Ages?,Great landowners and bishops,"Knights, who were usually smaller landowners",Wealthy people from towns and cities,Farmers and blacksmiths,1,,,
Which of the following statements regarding Scottish television is TRUE?,There is a channel with programmes in the Gaelic language,There are three channels in the Gaelic language,All programmes are broadcasted in English,There are no specific programmes to Scotland,1,,,
Where does the biggest and most well-known Fringe Festival take place?,Cambridge,Oxfors,Edinburgh,Cardiff,3,,,
The UN was set up after the First World War and aims to prevent war and promote international peace and security:,TRUE,FALSE,,,2,,,
Which of the following countries was NOT part of the Central Powers during the First World War?,Germany,Serbia,Austria,Hungary,2,,,
What is played at important national occasions and at events attended by the King or the Royal Family?,Folk music,The Beatles,The National Anthem,Opera music,3,,,
For which purpose was the Statute of Rhuddlan introduced?,To annex Scotland to the Crown of England,To annex Northern Ireland to the Crown of England,To annex Ireland to the Crown of England,To annex Wales to the Crown of England,4,,,
How can a person be protected from being forced into a marriage?,By giving them a place to stay away from their family,Court orders can be obtained to protect a person from being forced into a marriage,By speaking to the person’s parents,There are no laws in the UK to avoid this,2,,,
When was the first tennis club founded in the UK?,1772,1872,1862,1762,2,,,
Which of the following is NOT classified as a criminal offence in the UK?,Smoking in public places,Selling or buying drugs,Carrying a weapon,Unfair dismissal or discrimination in the workplace,4,,,
When did Henry VIII start reining?,In April 1509,In June 1497,In March 1515,In August 1495,1,,,
"In May 2010, the Conservative and Liberal Democrat parties formed a coalition and the leader of the Liberal Democrat Party, David Cameron, became Prime Minister:",TRUE,FALSE,,,2,,,
Which of the following is NOT considered to be a main part of the British government?,The monarchy,The European Council,The Prime Minister,The local government,2,,,
Which TWO universities compete with each other on a rowing race along the River Thames every year?,University College of London,Imperial College,Cambridge University,Oxford University,"3,4",,,
What is the name of Admiral Nelson’s ship?,HMS Victory,Golden Hind,Canute,Grimsby,1,,,
"When driving in the UK, where do you need to display the tax disc which shows that the annual road tax has been paid?",Anywhere inside the car,The windowscreen of the car,The wheel of the car,The boot of the car,2,,,
Which of the following is NOT a British film?,Lawrence of Arabia,The 39 Steps,The Lord of the Rings,Women in Love,3,,,
Which of the following statements is TRUE?,A jury is made up of members of the public who have applied to be part of it,A jury is made up of members of the public chosen at random from the local electoral register,,,2,,,
"When is St David’s Day, patron of Wales?",1st of March,17th of March,23rd of April,30th of November,1,,,
What name is given to the red flowers found on the battlefields of the First World War and which people wear during Remembrance Day?,Blitzs,Poppies,Daffodils,Carnations,2,,,
"It is a civil offence to cause harassment, alarm or distress to someone because of their religion or ethnic origin:",TRUE,FALSE,,,2,,,
Where can you get contact details for all your representatives and their parties (choose TWO options)?,At bookshops,Your local supermarket,Your local library,www.parliament.uk,"3,4",,,
What is the Old Bailey?,A Famous criminal Court,A Scottish drink,The name of a traditional Welsh cake,A British national park,1,,,
What is the name of the oldest continuously working film studio facility in the world?,Ealing Studios,Pinewood Studios Group,Pixar Animation Studios,Time Warner,1,,,
What are the British scientists Sir Ian Wilmot and Keith Campbell famous for?,The first ‘test-tube baby’,"The cloning of the first mammal, Dolly the sheep",The invention of the MRI (magnetic resonance imaging) scanner,The invention of the World Wide Web,2,,,
By which name is London’s west end known for?,Theatreland,Operaland,Home of rugby,Home of golf,1,,,
Which of the following was one of the commanders in the defeat of the Spanish Armada and one of the founders of England’s naval tradition?,Alan Turing,Sir Francis Drake,James VI of Scotland,Oliver Cromwell,2,,,
Where was William Shakespeare born?,London,Liverpool,Stratford upon Avon,Newcastle upon Tyne,3,,,
Which TWO islands are closely linked to the UK but are not part of it?,The Isle of Man,Malta,The Channel Islands,Fiji,"1,3",,,
"Who gave Henry VIII the son he wanted, Edward?",Jane Seymour,Catherine of Aragon,Anne of Cleves,Catherine Parr,1,,,
The Middle Ages or medieval times relate to the time that goes from the period after the Norman Conquest until the year:,1385,1485,1495,1595,2,,,
Who is the heir to the throne of the UK?,Prince William,Prince Harry,Prince James,Prince Philip,1,,,
Which flower is associated with Wales?,Daffodil,Rose,Shamrock,Thistle,1,,,
What was the nickname given to the Scottish poet Robert Burns?,The Great,The Bard,The Lover,The Scottish,2,,,
When was Ireland divided into two countries?,In 1920,In 1922,In 1925,In 1928,2,,,
Which of the following is NOT a city of the UK?,Belfast,Newport,Dublin,Dundee,3,,,
When is Bonfire Night celebrated?,5th of September,5th of November,15th of September,15th of Novenmber,2,,,
What is the name of the event that refers to the 6 June 1944 when Allied Forces landed in Normandy aiming to attack Hitler’s forces in Western Europe during World War II?,D-Day,Domesday,A-Day,Allies Day,1,,,
"In the UK, many people continue to visit the countryside for holidays and for leisure activities such as walking, camping and fishing:",TRUE,FALSE,,,1,,,
What is the name of the building where the Northern Ireland Assembly meet?,Westminster,Holyrood,Senedd,Stormont,4,,,
Which British Prime Minister led the Conservative government from 1979 to 1990?,John Major,Harold Macmillan,Margaret Thatcher,Sir Alec Douglas-Home,3,,,
"Which of the following civilisations is known for having built roads and public buildings, creating a structure of law and having introduced new plants and animals in Britain?",The Romans,The Vikings,The Normans,The Germans,1,,,
How often does the Edinburgh Festival take place?,Every six months,Every summer,Every spring,Every month,2,,,
Which of the following countries is NOT a member of the Commonwealth?,Uganda,Ghana,Malawi,Zimbabwe,4,,,
What marked the beginning of what is called ‘constitutional monarchy’?,The laws passed after the Glorious Revolution,A speech given by the King,"The emergence of new ideas about politics, philosophy and science",The development of the Bessemer process,1,,,
"What name is given to the day that marks the end of the Ramadan, when Muslims have fasted for a month?",Vaisakhi,Eid a-Fitr,Eid ul Adha,Hanukkah,2,,,
Who is the fastest person to have sailed around the world single-handed?,Dame Kelly Holmes,Dame Ellen MacArthur,Jayne Torvill,Bradley Wiggins,2,,,
Who makes the decisions on government policies in the UK?,The monarch,Only the Prime Minister can make the decisions on government policies,The Prime Minister and the Cabinet,The monarch and the Prime Minister,3,,,
Where does the most famous sailing event in the UK take place?,"Holyhead, North Wales","Cowes, The Isle of Wight","Douglas, The Isle of Man","Plymouth, England",2,,,
How often is the electoral register updated?,Every year,Every six months,Every two years,Every three years,1,,,
What do you need to drive a car in the UK?,"A driving licence, a valid motor insurance, a MOT certificate and the road tax",A driving licence and a valid motor insurance only,A driving licence and a MOT certificate only,A driving licence only,1,,,
The action of handing out leaflets in the street or knocking on people’s doors to ask for their political support is known as:,Shadowing,Canvassing,Marketing,Persuasion,2,,,
Who defeated the Vikings?,King Alfred the Great,William I,Boudicca,James II,1,,,
When was Queen Elizabeth II’s Diamond Jubilee celebrated?,2005,2010,2011,2012,4,,,
"During the Middle Ages, England was an important trading nation and people came to England from abroad to trade and also to work. Where did the canal builders come from?",Germany,Holland,France,Italy,2,,,
"The Elizabethan period in England was a time of growing patriotism: a feeling of pride in being English, English explorers sought new trade routes and tried to expand British trade into the Spanish colonies in the Americas:",TRUE,FALSE,,,1,,,
Which of the following are ‘Crown dependencies’?,The Maldives and Anglesey,Ireland and Malta,The Isle of Man and the Channel Islands,The Isle of Wight and Northern Ireland,3,,,
Which of the following is a charity that works with old people?,Shelter,Age UK,Crisis,Cancer Research UK,2,,,
Which popular British sport can be traced back to the 15th century?,Football,Golf,Rugby,Tennis,2,,,
How many crosses form the Union Flag?,Two,Three,Four,Five,2,,,
Who were the suffragettes?,A group who demanded the vote for the working classes,A group who used civil disobedience to gain the vote for women,A group who campaigned for the vote of men over 21 years of age,A group who introduced new ideas about politics,2,,,
What does the UK offer to its permanent residents or citizens?,Free undergraduate tuition fees,A right to a fair trial,VIP tickets for local events,Free parking across the country,2,,,
"Which of the following meals is made of a fried meal with bacon, eggs, sausage,black pudding, tomatoes, mushrooms, soda bread and potato bread?",English breakfast,Haggis,Ulster fry,Sunday roast,3,,,
What can living people donate that may help other people with injuries or illnesses (choose TWO options)?,Blooc,Saliva,A Kidney,Their liver,"1,3",,,
Where is the office of the MPs located?,10 Downing Street,The House of Commons,The House of Lords,Buckingham Palace,2,,,
"Which TWO of the following statements is TRUE with regards to Magistrates and Justices of the Peace (JPs) in England, Wales and Scotland?",They usually work unpaid,They do not need legal qualifications,They are legally qualified,They are paid,"1,2",,,
Which of the following is a showcase of mainly theatre and comedy performances?,The Fringe,Diwali,Halloween,Lent,1,,,
Which of the following days are public holidays in Scotland (choose TWO options)?,1st of January,24th of December,3rd of January,2nd of January,"1,4",,,
The House of Commons is normally more independent of the government than the House of Lords:,TRUE,FALSE,,,2,,,
When was the Turing machine invented?,In the 1920s,In the 1930s,In the 1940s,In the 1950s,2,,,
During which period were the House of Lords and House of Commons established?,Middle Ages,Iron Age,The Roman Invasion,The Anglo-Saxon Invasion,1,,,
What name is given to the period of time when Christians take time to reflect and prepare for Easter?,Halloween,Lent,Diwali,Hanukkah,2,,,
"In the new Church of England created by Henry VIII, who had the power to appoint bishops and order how people should worship?",The Pope,The King,The Prime Minister,The Archbishop of Canterbury,2,,,
"In Wales, many people speak Gaelic – a completely different language from English – and it is taught in schools and universities:",TRUE,FALSE,,,2,,,
How many years did Queen Victoria reign for?,Only two years,Almost 64 years,Less than two years,Almost 50 years,2,,,
"The UK population is ethnically diverse and changing rapidly, especially in large cities such as London:",TRUE,FALSE,,,1,,,
Which of the following is NOT a role of the King:,To inaugurate important business in the UK,To receive foreign ambassadors and high commissioners,To entertain visiting heads of state,To make state visits overseas,1,,,
